key,ko,en
nav.home,홈,Home
nav.about,회사소개,About
nav.services,서비스,Services
nav.portfolio,포트폴리오,Portfolio
nav.blog,블로그,Blog
nav.contact,연락처,Contact
common.readMore,더보기,Read More
common.contactUs,문의하기,Contact Us
common.logoAlt,TNQ 로고,TNQ Logo
common.menuAria,메뉴,Menu
menu.about,회사소개,About Us
menu.business,사업현황,Business
menu.equipment,설비현황,Equipment
menu.customerCenter,고객센터,Customer
menu.video,홍보영상,Video
menu.ceoMessage,CEO인사말,CEO Message
menu.history,회사연혁,History
menu.organization,조직현황,Organization
menu.patents,특허현황,Patents
menu.mainCustomers,주요고객,Main Customers
menu.location,오시는길,Location
menu.machining,가공설비,Machining
menu.trialRun,시운전설비,Trial Run
menu.heatTreatmentCoating,열처리&코팅 설비,Heat Treatment & Coating
menu.measurementInspection,측정&검사설비,Measurement & Inspection
menu.notice,공지사항,Notice
menu.productInquiry,제품문의,Product Inquiry
menu.factory,공장,Factory
menu.hotStamping,핫스템핑,Hot Stamping
menu.gallery,갤러리,Gallery
hero.subtitle1,끊임없는 기술 개발과 품질 혁신으로,"With continuous technology development and quality innovation,"
hero.subtitle2,고객 만족을 실현하는 (주)TNQ입니다.,we deliver customer satisfaction. TNQ Corporation
hero.subtitleM1,끊임없는 기술 개발과,With continuous technology development
hero.subtitleM2,품질 혁신으로,"and quality innovation,"
hero.subtitleM3,고객 만족을 실현하는,we deliver customer satisfaction.
hero.subtitleM4,(주)TNQ입니다.,TNQ Corporation
hero.statusLine1,성장하는 1류 기업,"A growing first-class company,"
hero.statusLine2,주식회사 TNQ,TNQ Corporation
main.visionMissionTitle,우리의 비전과 미션,Our Vision & Mission
main.factoryTitle,기술이 살아 숨 쉬는 공간,Where Technology Comes to Life
main.futureStrategyTitle,미래를 향한 도전,Challenging the Future
main.visionHeading,우리의 비전,Our Vision
main.visionText,"우리는 축적된 금형 기술과 현장 중심의 노하우를 바탕으로 고품질·고정밀 금형을 안정적으로 공급합니다. 빠른 대응력과 철저한 품질관리로 고객의 생산성을 높이고, 지속 가능한 제조 파트너로 함께 성장합니다.","We stably supply high-quality, high-precision molds based on accumulated mold technology and field-oriented know-how. We enhance our customers' productivity through quick response and thorough quality control, growing together as a sustainable manufacturing partner."
main.missionHeading,우리의 미션,Our Mission
main.missionText,우리는 사람의 정성과 기술이 만나 최고의 금형이 만들어진다고 믿습니다. 서로를 존중하는 현장에서 안전과 신뢰를 가장 소중한 가치로 지켜갑니다. 고객의 고민을 함께 나누며 진심으로 소통하는 파트너가 되겠습니다. 함께 일하는 모든 사람의 성장이 곧 우리의 성장임을 약속합니다.,We believe that the best molds are made when human dedication meets technology. We uphold safety and trust as our most valued principles in a workplace that respects one another. We are committed to being a partner that shares our customers' concerns and communicates with sincerity. We promise that the growth of everyone we work with is our growth.
main.aboutVideoAria,CEO 및 현장,CEO and workplace
